farmland,crops,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
³í,³íº­ ,0,0,15,15,25,25,25,25,25,25,25,25
½Ã¼³ ,µþ±â ,0,22,31,35.5,40,40,40,40,40,40,40,40
ÀÎ»ï ,ÀÎ»ï ,0,72.5,97.421875,100,100,100,100,100,100,100,100,100
¹ç,¼ö¹Ú ,0,87.2,100,100,100,100,100,100,100,100,100,100
¹ç,°¡À»¹«,0,36.7,49.315625,66.51875,83.721875,83.721875,83.721875,83.721875,83.721875,83.721875,83.721875,83.721875
¹ç,°¡À»¹èÃß ,0,60,63.15789474,100,100,100,100,100,100,100,100,100
¹ç,Âü±ú ,0,29.7,31.26315789,50.02105263,68.77894737,68.77894737,68.77894737,68.77894737,68.77894737,68.77894737,68.77894737,68.77894737
¹ç,¿Á¼ö¼ö,0,11,27,32.5,38,38,38,38,38,38,38,38
¹ç,Äá,0,35.5,46.30434783,54.02173913,61.73913043,61.73913043,61.73913043,61.73913043,61.73913043,61.73913043,61.73913043,61.73913043
¹ç,°í±¸¸¶,0,10,13.4375,18.125,22.8125,22.8125,22.8125,22.8125,22.8125,22.8125,22.8125,22.8125
