farmland,crops,stndr_prd_cst,stndr_income,input_prd_cst,expct_netpr
논,논벼 ,574745,264961,346299.668,264961
시설 ,딸기 ,18921788,5825529,12991084.68,3999618.882
인삼 ,인삼 ,9278419,8175662,7301999.773,6434143.798
밭,수박 ,2767807,1374491,1043601.629,518251.8316
밭,가을무,1813776,1090425,730924.5214,439424.9186
밭,가을배추 ,1979017,1434999,646208.421,468570.2235
밭,참깨 ,1115081,151355,698605.6804,94824.91653
밭,옥수수,1217902,361239,915402.546,271515.3603
밭,콩,528732,230559,277790.5055,121133.393
밭,고구마,2167326,1317769,1577921.694,959401.7205
