farmland,crops,stndr_prd_cst,stndr_income,input_prd_cst,expct_netpr
³í,³íº­ ,574745,264961,346299.668,264961
½Ã¼³ ,µþ±â ,18921788,5825529,12991084.68,3999618.882
ÀÎ»ï ,ÀÎ»ï ,9278419,8175662,7301999.773,6434143.798
¹ç,¼ö¹Ú ,2767807,1374491,1043601.629,518251.8316
¹ç,°¡À»¹«,1813776,1090425,730924.5214,439424.9186
¹ç,°¡À»¹èÃß ,1979017,1434999,646208.421,468570.2235
¹ç,Âü±ú ,1115081,151355,698605.6804,94824.91653
¹ç,¿Á¼ö¼ö,1217902,361239,915402.546,271515.3603
¹ç,Äá,528732,230559,277790.5055,121133.393
¹ç,°í±¸¸¶,2167326,1317769,1577921.694,959401.7205
