farmland,crops,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
³í,³íº­,0.0,0.0,92.5,92.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
½Ã¼³,µþ±â,0.0,56.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ÀÎ»ï,ÀÎ»ï,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
¹ç,¼ö¹Ú,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
¹ç,°¡À»¹«,0.0,77.02711864,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
¹ç,°¡À»¹èÃß,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
¹ç,Âü±ú,0.0,86.17575758,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
¹ç,¿Á¼ö¼ö,0.0,50.0,88.0,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
¹ç,Äá,0.0,77.5,84.44029851,89.06716418,93.69402985,93.69402985,93.69402985,93.69402985,93.69402985,93.69402985,93.69402985,93.69402985
¹ç,°í±¸¸¶,0.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
