farmland,crops,stndr_prd_cst,stndr_income,input_prd_cst,expct_netpr
³í,³íº­,574745.0,264961.0,346299.668,264961.0
½Ã¼³,µþ±â,18921788.0,5825529.0,12991084.68,3999618.882
ÀÎ»ï,ÀÎ»ï,9278419.0,8175662.0,7301999.773,6434143.798
¹ç,¼ö¹Ú,2767807.0,1374491.0,1043601.629,518251.8316
¹ç,°¡À»¹«,1813776.0,1090425.0,730924.5214,439424.9186
¹ç,°¡À»¹èÃß,1979017.0,1434999.0,646208.421,468570.2235
¹ç,Âü±ú,1115081.0,151355.0,698605.6804,94824.91653
¹ç,¿Á¼ö¼ö,1217902.0,361239.0,915402.546,271515.3603
¹ç,Äá,528732.0,230559.0,277790.5055,121133.393
¹ç,°í±¸¸¶,2167326.0,1317769.0,1577921.694,959401.7205
