occupancy,structures,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
1종근린생활시설,,0.0,2.5,5.0,8.0,11.0,13.0,16.0,19.0,22.0,25.0,29.0,32.0
2종근린생활시설,,0.0,1.0,9.0,14.0,16.0,18.0,20.0,23.0,26.0,30.0,34.0,38.0
공공업무시설,,0.0,2.5,5.0,8.0,13.0,14.0,14.0,15.0,17.0,19.0,22.0,26.0
공해공장,,0.0,1.0,10.0,12.0,15.0,19.0,22.0,26.0,30.0,35.0,39.0,42.0
관광휴게시설,,0.0,1.0,9.0,11.0,12.0,14.0,16.0,18.0,20.0,22.0,26.0,29.0
교육연구시설,,0.0,2.5,5.0,7.0,9.0,9.0,10.0,11.0,13.0,15.0,17.0,20.0
교정및군사시설,,0.0,2.5,5.0,8.0,13.0,14.0,14.0,15.0,17.0,19.0,22.0,26.0
노유자시설,,0.0,3.5,7.0,10.0,14.0,15.0,15.0,16.0,18.0,20.0,23.0,26.0
다세대주택/연립주택,,0.0,3.7,10.5,16.1,20.9,25.9,30.9,36.6,43.1,47.4,49.6,50.1
단독주택,목조,0.0,8.2,12.7,16.4,22.6,29.5,34.3,40.3,46.96,53.3,58.6,58.6
단독주택,조적조,0.0,9.5,14.1,19.2,23.9,31.5,34.9,39.4,45.7,50.0,52.2,52.2
단독주택,철근콘크리트조,0.0,8.1,11.9,16.5,22.4,27.3,31.1,37.0,40.6,42.9,45.3,45.3
단독주택,철골조,0.0,13.8,19.9,25.8,30.8,37.1,39.7,42.6,48.0,50.2,53.9,53.9
동물및식물관련시설,,0.0,3.0,6.0,11.0,15.0,19.0,25.0,30.0,35.0,41.0,46.0,51.0
묘지관련시설,,0.0,3.0,6.0,11.0,15.0,19.0,25.0,30.0,35.0,41.0,46.0,51.0
문화및집회시설,,0.0,5.0,10.0,11.0,11.0,12.0,12.0,13.0,14.0,14.0,15.0,17.0
발전시설,,0.0,32.5,65.0,65.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
방송통신시설,,0.0,3.0,12.0,14.0,17.0,19.0,23.0,27.0,31.0,35.0,40.0,45.0
분뇨쓰레기처리시설,,0.0,1.0,2.0,4.0,4.0,4.0,5.0,6.0,8.0,12.0,16.0,21.0
수련시설,,0.0,4.0,8.0,12.0,15.0,15.0,16.0,17.0,19.0,22.0,25.0,28.0
숙박시설,,0.0,1.5,3.0,5.0,6.0,7.0,9.0,12.0,14.0,18.0,21.0,26.0
아파트,,0.0,4.5,11.3,17.4,23.0,28.1,32.7,39.0,46.4,51.1,53.1,53.8
운동시설,,0.0,1.0,1.0,1.0,2.0,5.0,10.0,10.0,15.0,15.0,20.0,20.0
운수시설,,0.0,4.5,9.0,11.0,12.0,16.0,20.0,24.0,28.0,30.0,30.0,30.0
위락시설,,0.0,1.0,9.0,11.0,12.0,14.0,16.0,18.0,20.0,22.0,26.0,29.0
위험물저장처리시설,,0.0,6.5,13.0,14.0,19.0,22.0,25.0,28.0,30.0,33.0,34.0,36.0
의료시설,,0.0,2.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,20.0,22.0,24.0
일반공장,,0.0,1.0,9.0,14.0,17.0,22.0,26.0,30.0,32.0,35.0,37.0,39.0
일반업무시설,,0.0,0.5,1.0,2.0,3.0,5.0,8.0,11.0,13.0,16.0,18.0,21.0
자동차관련시설,,0.0,1.5,3.0,5.0,6.0,7.0,8.0,10.0,13.0,17.0,21.0,25.0
장례시설,,0.0,8.0,16.0,34.0,65.0,80.0,82.0,90.0,92.0,92.0,92.0,92.0
종교시설,,0.0,5.0,10.0,11.0,11.0,12.0,12.0,13.0,14.0,14.0,15.0,17.0
창고시설,,0.0,0.5,1.0,5.0,10.0,10.0,10.0,10.0,20.0,30.0,50.0,50.0
판매시설,,0.0,1.0,9.0,14.0,16.0,18.0,20.0,23.0,26.0,30.0,34.0,38.0
