occupancy,0m,0-0.3m,0.3-0.6m,0.6-0.9m,0.9-1.2m,1.2-1.5m,1.5-1.8m,1.8-2.1m,2.1-2.4m,2.4-2.7m,2.7-3.0m,3.0m-
1종근린생활시설,0.0,3.0,16.0,27.0,36.0,49.0,57.0,63.0,69.0,72.0,76.0,80.0
2종근린생활시설,0.0,2.0,26.0,42.0,56.0,68.0,78.0,83.0,85.0,87.0,88.0,89.0
공공업무시설,0.0,24.0,47.0,64.0,78.0,90.0,97.0,98.0,99.0,99.0,99.0,99.0
공해공장,0.0,7.5,15.0,24.0,34.0,41.0,47.0,52.0,57.0,60.0,63.0,64.0
관광휴게시설,0.0,13.0,45.0,55.0,64.0,73.0,77.0,80.0,82.0,83.0,85.0,87.0
교육연구시설,0.0,6.5,25.8,42.8,57.0,71.5,87.4,97.5,100.0,100.0,100.0,100.0
교정및군사시설,0.0,22.5,40.0,58.0,70.0,84.0,91.0,95.0,98.0,98.0,98.0,98.0
노유자시설,0.0,30.5,54.0,68.0,83.0,91.0,98.0,98.0,99.0,99.0,99.0,99.0
다세대주택/연립주택,0.0,10.2,20.9,41.8,63.5,76.1,89.4,98.6,99.2,99.4,99.4,99.4
단독주택,0.0,10.2,20.9,41.8,63.5,76.1,89.4,98.6,99.2,99.4,99.4,99.4
동물및식물관련시설,0.0,6.0,20.0,43.0,58.0,65.0,66.0,66.0,67.0,70.0,75.0,76.0
묘지관련시설,0.0,6.0,20.0,43.0,58.0,65.0,66.0,66.0,67.0,70.0,75.0,76.0
문화및집회시설,0.0,10.0,52.0,72.0,85.0,92.0,95.0,98.0,99.0,100.0,100.0,100.0
발전시설,0.0,17.0,34.0,44.0,54.0,60.0,66.0,69.0,75.0,77.0,79.0,79.0
방송통신시설,0.0,28.0,48.0,62.0,72.0,81.0,87.0,90.0,92.0,93.0,93.0,93.0
분뇨쓰레기처리시설,0.0,17.0,34.0,44.0,52.0,59.0,64.0,68.0,72.0,75.0,76.0,76.0
수련시설,0.0,22.0,47.0,67.0,77.0,88.0,94.0,97.0,98.0,98.0,98.0,98.0
숙박시설,0.0,5.5,11.0,19.0,25.0,29.0,34.0,39.0,44.0,49.0,56.0,65.0
아파트,0.0,10.2,20.9,41.8,63.5,76.1,89.4,98.6,99.2,99.4,99.4,99.4
운동시설,0.0,13.0,45.0,55.0,64.0,73.0,77.0,80.0,82.0,83.0,85.0,87.0
운수시설,0.0,30.0,60.0,75.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
위락시설,0.0,13.0,45.0,55.0,64.0,73.0,77.0,80.0,82.0,83.0,85.0,87.0
위험물저장처리시설,0.0,2.0,20.0,41.0,51.0,62.0,67.0,71.0,73.0,76.0,78.0,79.0
의료시설,0.0,25.0,52.0,69.0,81.0,95.0,98.0,98.0,99.0,99.0,99.0,99.0
일반공장,0.0,4.5,9.0,23.0,35.0,44.0,52.0,58.0,62.0,65.0,68.0,70.0
일반업무시설,0.0,1.0,2.0,6.0,10.0,15.0,19.0,24.0,28.0,33.0,38.0,44.0
자동차관련시설,0.0,5.5,11.0,17.0,20.0,23.0,25.0,29.0,35.0,42.0,51.0,63.0
장례시설,0.0,25.5,44.0,65.0,85.0,94.0,98.0,98.0,99.0,99.0,99.0,99.0
종교시설,0.0,10.0,52.0,72.0,85.0,92.0,95.0,98.0,99.0,100.0,100.0,100.0
창고시설,0.0,4.5,9.0,23.0,35.0,44.0,52.0,58.0,62.0,65.0,68.0,70.0
판매시설,0.0,2.0,26.0,42.0,56.0,68.0,78.0,83.0,85.0,87.0,88.0,89.0
