occupancy,structures,persisting_period(%)
1종근린생활시설,철골조,55.0
1종근린생활시설,조적조,55.0
1종근린생활시설,목조,55.0
1종근린생활시설,철근콘크리트조,55.0
2종근린생활시설,철근콘크리트조,55.0
2종근린생활시설,철골조,55.0
2종근린생활시설,조적조,55.0
2종근린생활시설,목조,55.0
공공업무시설,조적조,55.0
공공업무시설,목조,55.0
공공업무시설,철골조,55.0
공공업무시설,철근콘크리트조,55.0
공해공장,조적조,45.0
공해공장,철골조,45.0
공해공장,목조,45.0
공해공장,철근콘크리트조,45.0
관광휴게시설,조적조,50.0
관광휴게시설,철근콘크리트조,50.0
관광휴게시설,철골조,50.0
관광휴게시설,목조,50.0
교육연구시설,철근콘크리트조,55.0
교육연구시설,조적조,55.0
교육연구시설,철골조,55.0
교육연구시설,목조,55.0
교정및군사시설,목조,55.0
교정및군사시설,철근콘크리트조,55.0
교정및군사시설,조적조,55.0
교정및군사시설,철골조,55.0
노유자시설,철근콘크리트조,55.0
노유자시설,목조,55.0
노유자시설,철골조,55.0
노유자시설,조적조,55.0
다세대주택/연립주택,철근콘크리트조,50.0
다세대주택/연립주택,목조,50.0
다세대주택/연립주택,조적조,50.0
다세대주택/연립주택,철골조,50.0
단독주택,조적조,45.0
단독주택,철골조,40.0
단독주택,목조,43.0
단독주택,철근콘크리트조,50.0
동물및식물관련시설,철골조,40.0
동물및식물관련시설,목조,40.0
동물및식물관련시설,조적조,40.0
동물및식물관련시설,철근콘크리트조,40.0
묘지관련시설,조적조,40.0
묘지관련시설,철근콘크리트조,40.0
묘지관련시설,철골조,40.0
묘지관련시설,목조,40.0
문화및집회시설,조적조,55.0
문화및집회시설,철근콘크리트조,55.0
문화및집회시설,목조,55.0
문화및집회시설,철골조,55.0
발전시설,철근콘크리트조,55.0
발전시설,철골조,55.0
발전시설,조적조,55.0
발전시설,목조,55.0
방송통신시설,조적조,55.0
방송통신시설,목조,55.0
방송통신시설,철골조,55.0
방송통신시설,철근콘크리트조,55.0
분뇨쓰레기처리시설,철근콘크리트조,45.0
분뇨쓰레기처리시설,철골조,45.0
분뇨쓰레기처리시설,목조,45.0
분뇨쓰레기처리시설,조적조,45.0
수련시설,조적조,55.0
수련시설,목조,55.0
수련시설,철골조,55.0
수련시설,철근콘크리트조,55.0
숙박시설,철근콘크리트조,50.0
숙박시설,목조,50.0
숙박시설,철골조,50.0
숙박시설,조적조,50.0
아파트,철골조,50.0
아파트,철근콘크리트조,50.0
아파트,조적조,50.0
아파트,목조,50.0
운동시설,조적조,55.0
운동시설,목조,55.0
운동시설,철골조,55.0
운동시설,철근콘크리트조,55.0
운수시설,철근콘크리트조,55.0
운수시설,조적조,55.0
운수시설,철골조,55.0
운수시설,목조,55.0
위락시설,철골조,50.0
위락시설,목조,50.0
위락시설,조적조,50.0
위락시설,철근콘크리트조,50.0
위험물저장처리시설,철골조,45.0
위험물저장처리시설,조적조,45.0
위험물저장처리시설,철근콘크리트조,45.0
위험물저장처리시설,목조,45.0
의료시설,철근콘크리트조,55.0
의료시설,목조,55.0
의료시설,조적조,55.0
의료시설,철골조,55.0
일반공장,조적조,45.0
일반공장,철근콘크리트조,45.0
일반공장,철골조,45.0
일반공장,목조,45.0
일반업무시설,조적조,55.0
일반업무시설,철골조,55.0
일반업무시설,철근콘크리트조,55.0
일반업무시설,목조,55.0
자동차관련시설,조적조,45.0
자동차관련시설,철골조,45.0
자동차관련시설,철근콘크리트조,45.0
자동차관련시설,목조,45.0
장례시설,목조,50.0
장례시설,철근콘크리트조,50.0
장례시설,조적조,50.0
장례시설,철골조,50.0
종교시설,목조,55.0
종교시설,조적조,55.0
종교시설,철골조,55.0
종교시설,철근콘크리트조,55.0
창고시설,목조,45.0
창고시설,철골조,45.0
창고시설,조적조,45.0
창고시설,철근콘크리트조,45.0
판매시설,목조,50.0
판매시설,철골조,50.0
판매시설,조적조,50.0
판매시설,철근콘크리트조,50.0
